sales_id,order_id,date_key,product_id,region_id,quantity,unit_price,revenue,discount_pct,customer_segment,sales_channel
1,ORD-100001,20231124,6,4,3,130.0,392.73,0.05,Home Office,In-Store
2,ORD-100002,20230506,2,1,1,79.0,71.1,0.1,Home Office,Online
3,ORD-100003,20231213,9,3,1,220.0,198.22,0.15,Home Office,Online
4,ORD-100004,20231030,11,1,1,18.0,18.0,0.0,Consumer,Online
5,ORD-100005,20230422,5,3,2,95.0,190.0,0.0,Home Office,Online
6,ORD-100006,20231015,9,1,1,220.0,220.0,0.0,Home Office,In-Store
7,ORD-100007,20230423,7,4,1,85.0,85.0,0.0,Corporate,Online
8,ORD-100008,20230323,9,1,3,220.0,660.0,0.0,Corporate,In-Store
9,ORD-100009,20230321,1,4,6,1100.0,5940.0,0.1,Corporate,Online
10,ORD-100010,20230217,5,1,3,95.0,285.0,0.0,Corporate,In-Store
11,ORD-100011,20231106,2,2,1,79.0,75.37,0.1,Consumer,In-Store
12,ORD-100012,20231002,4,3,1,350.0,350.0,0.0,Corporate,Online
13,ORD-100013,20231010,8,1,6,25.0,142.5,0.05,Home Office,In-Store
14,ORD-100014,20231023,14,4,2,120.0,216.0,0.1,Consumer,Online
15,ORD-100015,20231205,2,1,1,79.0,83.74,0.0,Corporate,Online
16,ORD-100016,20230430,6,1,4,130.0,520.0,0.0,Corporate,In-Store
17,ORD-100017,20230812,5,3,1,95.0,71.82,0.1,Consumer,In-Store
18,ORD-100018,20230701,1,4,3,1100.0,2772.0,0.0,Corporate,Online
19,ORD-100019,20231108,1,4,3,1100.0,3323.1,0.05,Home Office,Online
20,ORD-100020,20230325,11,1,2,18.0,36.0,0.0,Corporate,Online
21,ORD-100021,20231217,12,3,1,38.0,40.28,0.0,Consumer,Online
22,ORD-100022,20230117,5,2,3,95.0,270.75,0.05,Corporate,In-Store
23,ORD-100023,20230203,12,2,1,38.0,36.1,0.05,Home Office,In-Store
24,ORD-100024,20230419,11,3,3,18.0,54.0,0.0,Corporate,In-Store
25,ORD-100025,20230315,8,2,1,25.0,25.0,0.0,Consumer,In-Store
26,ORD-100026,20231027,1,3,1,1100.0,1100.0,0.0,Home Office,In-Store
27,ORD-100027,20230705,13,1,2,45.0,71.82,0.05,Consumer,In-Store
28,ORD-100028,20230216,3,1,1,180.0,180.0,0.0,Consumer,Online
29,ORD-100029,20231118,14,4,3,120.0,343.44,0.1,Home Office,In-Store
30,ORD-100030,20231102,11,1,5,18.0,95.4,0.0,Corporate,In-Store
31,ORD-100031,20230928,11,4,1,18.0,15.12,0.0,Home Office,Online
32,ORD-100032,20231215,3,2,4,180.0,686.88,0.1,Home Office,In-Store
33,ORD-100033,20231125,1,3,2,1100.0,2332.0,0.0,Corporate,In-Store
34,ORD-100034,20230322,2,2,5,79.0,395.0,0.0,Home Office,In-Store
35,ORD-100035,20230917,8,3,2,25.0,35.7,0.15,Consumer,In-Store
36,ORD-100036,20231124,15,1,2,55.0,116.6,0.0,Consumer,Online
37,ORD-100037,20230718,5,1,3,95.0,239.4,0.0,Home Office,Online
38,ORD-100038,20231103,1,1,5,1100.0,5830.0,0.0,Consumer,Online
39,ORD-100039,20230727,2,2,6,79.0,398.16,0.0,Corporate,Online
40,ORD-100040,20230130,10,4,1,65.0,61.75,0.05,Home Office,Online
41,ORD-100041,20230213,6,3,3,130.0,390.0,0.0,Consumer,Online
42,ORD-100042,20230307,2,4,1,79.0,79.0,0.0,Home Office,Online
43,ORD-100043,20230516,1,3,3,1100.0,3300.0,0.0,Home Office,In-Store
44,ORD-100044,20230425,8,1,3,25.0,75.0,0.0,Home Office,Online
45,ORD-100045,20230609,10,2,5,65.0,325.0,0.0,Home Office,In-Store
46,ORD-100046,20230815,6,1,5,130.0,491.4,0.1,Consumer,Online
47,ORD-100047,20230426,4,3,4,350.0,1330.0,0.05,Consumer,Online
48,ORD-100048,20231029,8,1,1,25.0,22.5,0.1,Consumer,Online
49,ORD-100049,20230428,13,3,1,45.0,45.0,0.0,Consumer,In-Store
50,ORD-100050,20230206,10,4,4,65.0,247.0,0.05,Corporate,In-Store
51,ORD-100051,20230420,9,1,1,220.0,198.0,0.1,Home Office,In-Store
52,ORD-100052,20230505,9,1,1,220.0,209.0,0.05,Corporate,Online
53,ORD-100053,20230218,1,1,2,1100.0,2090.0,0.05,Corporate,In-Store
54,ORD-100054,20230805,9,1,3,220.0,554.4,0.0,Home Office,Online
55,ORD-100055,20231211,5,3,3,95.0,271.89,0.1,Home Office,Online
56,ORD-100056,20230201,9,3,1,220.0,220.0,0.0,Corporate,Online
57,ORD-100057,20230508,4,1,6,350.0,2100.0,0.0,Home Office,In-Store
58,ORD-100058,20230313,13,3,4,45.0,180.0,0.0,Corporate,In-Store
59,ORD-100059,20230508,8,2,1,25.0,23.75,0.05,Consumer,In-Store
